           -4101      -1	anti-cd_0               \bar{(cd)}_{0}                  
            4103       1	cd_1                    (cd)_{1}                        
           -4103      -1	anti-cd_1               \bar{(cd)}_{1}                  
            4112       0	Sigma_c0                \Sigma_{c}^{0}                  
           -4112       0	anti-Sigma_c0           \bar{\Sigma}_{c}^{0}            
            4114       0	Sigma_c*0               \Sigma_{c}^{*0}                 
           -4114       0	anti-Sigma_c*0          \bar{\Sigma}_{c}^{*0}           
            4122       3	Lambda_c+               \Lambda_{c}^{+}                 
           -4122      -3	anti-Lambda_c-          \bar{\Lambda}_{c}^{-}           
            4132       0	Xi_c0                   \Xi_{c}^{0}                     
           -4132       0	anti-Xi_c0              \bar{\Xi}_{c}^{0}               
            4201       4	cu_0                    (cu)_{0}                        
           -4201      -4	anti-cu_0               \bar{(cu)}_{0}                  
            4203       4	cu_1                    (cu)_{1}                        
           -4203      -4	anti-cu_1               \bar{(cu)}_{1}                  
            4212       3	Sigma_c+                \Sigma_{c}^{+}                  
           -4212      -3	anti-Sigma_c-           \bar{\Sigma}_{c}^{-}            
            4214       3	Sigma_c*+               \Sigma_{c}^{*+}                 
           -4214      -3	anti-Sigma_c*-          \bar{\Sigma}_{c}^{*-}           
            4222       6	Sigma_c++               \Sigma_{c}^{++}                 
           -4222      -6	anti-Sigma_c--          \bar{\Sigma}_{c}^{--}           
            4224       6	Sigma_c*++              \Sigma_{c}^{*++}                
           -4224      -6	anti-Sigma_c*--         \bar{\Sigma}_{c}^{*--}          
            4232       3	Xi_c+                   \Xi_{c}^{+}                     
           -4232      -3	anti-Xi_c-              \bar{\Xi}_{c}^{-}               
            4301       1	cs_0                    (cs)_{0}                        
           -4301      -1	anti-cs_0               \bar{(cs)}_{0}                  
            4303       1	cs_1                    (cs)_{1}                        
           -4303      -1	anti-cs_1               \bar{(cs)}_{1}                  
            4312       0	Xi'_c0                  \Xi_{c}^{\prime0}               
           -4312       0	anti-Xi'_c0             \bar{\Xi}_{c}^{\prime0}         
            4314       0	Xi_c*0                  \Xi_{c}^{*0}                    
           -4314       0	anti-Xi_c*0             \bar{\Xi}_{c}^{*0}              
            4322       3	Xi'_c+                  \Xi_{c}^{\prime+}               
           -4322      -3	anti-Xi'_c-             \bar{\Xi}_{c}^{\prime-}         
            4324       3	Xi_c*+                  \Xi_{c}^{*+}                    
           -4324      -3	anti-Xi_c*-             \bar{\Xi}_{c}^{*-}              
            4332       0	Omega_c0                \Omega_{c}^{0}                  
           -4332       0	anti-Omega_c0           \bar{\Omega}_{c}^{0}            
            4334       0	Omega_c*0               \Omega_{c}^{*0}                 
           -4334       0	anti-Omega_c*0          \bar{\Omega}_{c}^{*0}           
            4401       4	cc_0                    (cc)_{0}                        
           -4401      -4	anti-cc_0               \bar{(cc)}_{0}                  
            4403       4	cc_1                    (cc)_{1}                        
           -4403      -4	anti-cc_1               \bar{(cc)}_{1}                  
            5101      -2	bd_0                    (bd)_{0}                        
           -5101       2	anti-bd_0               \bar{(bd)}_{0}                  
            5103      -2	bd_1                    (bd)_{1}                        
           -5103       2	anti-bd_1               \bar{(bd)}_{1}                  
            5112      -3	Sigma_b-                \Sigma_{b}^{-}                  
           -5112       3	anti-Sigma_b+           \bar{\Sigma}_{b}^{+}            
            5114      -3	Sigma_b*-               \Sigma_{b}^{*-}                 
